time,lasttime,lat,lng,speed,course,altitude,comment
11/2/2022 5:19,11/2/2022 5:19,41.47467,78.966,0,0,600.15,MN91LL To:79 Up:0m/s V:74Km/h Sun:18 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=k9yo&launch=20221010180000&detail=on&SSID=15&banda=All&balloonid=07&timeslot=0&tracker=wb8elk
11/2/2022 10:13,11/2/2022 14:46,42.47467,106.966,0,0,540.11,ON32LL To:89 Up:0m/s V:197Km/h Sun:30 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=K9YO&launch=20221010183000&detail=on&SSID=15&banda=20m&balloonid=07&timeslot=0&tracker=wb8elk
11/3/2022 2:33,11/3/2022 15:31,42.47467,142.966,0,0,11999.98,QN12LL To:78 Up:0m/s V:166Km/h Sun:27 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=k9yo&launch=20221010180000&detail=on&SSID=15&banda=All&balloonid=07&timeslot=0&tracker=wb8elk
11/3/2022 22:34,11/3/2022 22:45,40.47467,170.966,0,0,669.95,RN50LL To:89 Up:0m/s V:97Km/h Sun:28 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=k9yo&launch=20221010180000&detail=on&SSID=15&banda=All&balloonid=07&timeslot=0&tracker=wb8elk
11/4/2022 1:41,11/4/2022 12:41,39.47467,172.966,0,0,719.94,RM69LL To:89 Up:0m/s V:45Km/h Sun:17 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=k9yo&launch=20221010180000&detail=on&SSID=15&banda=All&balloonid=07&timeslot=0&tracker=wb8elk
11/4/2022 21:20,11/4/2022 21:20,44.47467,-177.034,0,0,850.09,AN14LL To:53 Up:0m/s V:59Km/h Sun:19 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=k9yo&launch=20221010180000&detail=on&SSID=15&banda=All&balloonid=07&timeslot=0&tracker=wb8elk
11/5/2022 13:06,11/5/2022 13:06,46.47467,-175.034,0,0,850.09,AN26LL To:54 Up:0m/s V:95Km/h Sun:21 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=K9YO&launch=20221010183000&detail=on&SSID=15&banda=20m&balloonid=07&timeslot=0&tracker=wb8elk
11/5/2022 18:54,11/5/2022 18:57,47.47467,-137.034,0,0,669.95,CN17LL To:76 Up:0m/s V:168Km/h Sun:21 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=k9yo&launch=20221010180000&detail=on&SSID=15&banda=All&balloonid=07&timeslot=0&tracker=wb8elk
11/5/2022 19:17,11/5/2022 19:22,47.47467,-135.034,0,0,669.95,CN27LL To:89 Up:0m/s V:51Km/h Sun:23 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=k9yo&launch=20221010180000&detail=on&SSID=15&banda=All&balloonid=07&timeslot=0&tracker=wb8elk
11/5/2022 20:40,11/5/2022 20:40,47.47467,-133.034,0,0,12600.13,CN37LL To:89 Up:0m/s V:51Km/h Sun:26 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=k9yo&launch=20221010180000&detail=on&SSID=15&banda=All&balloonid=07&timeslot=0&tracker=wb8elk
11/5/2022 21:09,11/5/2022 21:09,46.47467,-131.034,0,0,12600.13,CN46LL To:126 Up:0m/s V:51Km/h Sun:28 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=k9yo&launch=20221010180000&detail=on&SSID=15&banda=All&balloonid=07&timeslot=0&tracker=wb8elk
11/5/2022 22:36,11/5/2022 22:36,46.47467,-127.034,0,0,540.11,CN66LL To:89 Up:0m/s V:184Km/h Sun:21 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=k9yo&launch=20221010180000&detail=on&SSID=15&banda=All&balloonid=07&timeslot=0&tracker=wb8elk
