time,lasttime,lat,lng,speed,course,altitude,comment
11/28/2022 22:42,11/28/2022 22:42,-61.35583,151.034,0,0,130.15,QC58MP 5C NaNV To:174 Up:0m/s V:64Km/h Sun:36 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
11/29/2022 15:51,11/29/2022 15:51,-70.52533,150.966,0,0,9999.88,QB59ll To:180 Up:0m/s V:64Km/h Sun:2 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
11/30/2022 2:48,11/30/2022 2:48,-75.949,155.966,0,0,490.12,QB74XB 10C NaNV To:161 Up:0.01m/s V:62Km/h Sun:35 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/3/2022 23:06,12/3/2022 23:06,-63.64417,-21.7965,0,0,719.94,HC96CI 5C NaNV To:93 Up:0.01m/s V:38Km/h Sun:3 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/4/2022 14:47,12/4/2022 14:47,-55.61,15.11883,0,0,779.98,JD74NJ 10C NaNV To:68 Up:0m/s V:43Km/h Sun:40 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/4/2022 19:20,12/4/2022 19:20,-54.1865,22.373,0,0,779.98,KD15ET 10C NaNV To:76 Up:0m/s V:43Km/h Sun:8 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/5/2022 3:39,12/5/2022 3:39,-54.35583,41.2035,0,0,779.98,LD05OP 5C NaNV To:99 Up:0m/s V:36Km/h Sun:20 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/5/2022 4:00,12/5/2022 4:00,-54.52533,42.034,0,0,10720.12,LD15AL 5C NaNV To:100 Up:-0.00m/s V:36Km/h Sun:25 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/5/2022 4:27,12/5/2022 4:27,-54.61,42.62717,0,0,10779.86,LD15HJ 10C NaNV To:100 Up:0m/s V:36Km/h Sun:28 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/5/2022 17:29,12/5/2022 17:30,-61.55933,58.28817,0,0,10779.86,LC98DK 5C NaNV To:139 Up:0m/s V:28Km/h Sun:6 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/5/2022 23:03,12/5/2022 23:03,-65.44067,64.7965,0,0,10849.97,MC24JN 5C NaNV To:146 Up:0m/s V:24Km/h Sun:4 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/5/2022 23:37,12/5/2022 23:37,-65.8135,65.54233,0,0,10910.01,MC24SE 5C NaNV To:146 Up:0m/s V:23Km/h Sun:9 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/6/2022 0:27,12/6/2022 0:27,-66.2205,66.373,0,0,10910.01,MC33ES 5C NaNV To:146 Up:0m/s V:23Km/h Sun:13 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/7/2022 10:01,12/7/2022 10:01,-65.72883,119.2035,0,0,600.15,OC94OG 5C NaNV To:91 Up:0m/s V:18Km/h Sun:28 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/8/2022 2:52,12/8/2022 2:52,-64.39,139.45767,0,0,420.01,PC95RO 10C NaNV To:88 Up:-0.00m/s V:18Km/h Sun:44 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/9/2022 4:12,12/9/2022 4:12,-70.1865,-169.54233,0,0,180.14,AB59FT 5C NaNV To:109 Up:-0.00m/s V:29Km/h Sun:30 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/9/2022 10:48,12/9/2022 10:48,-70.35583,-155.28817,0,0,10049.87,BB29IP 5C NaNV To:97 Up:-0.01m/s V:23Km/h Sun:3 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/9/2022 16:27,12/9/2022 16:27,-71.017,-147.62717,0,0,9999.88,BB68EX 5C NaNV To:107 Up:-0.00m/s V:16Km/h Sun:21 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/9/2022 22:56,12/9/2022 22:56,-72.13583,-141.11883,0,0,9959.95,BB97KU 0C NaNV To:122 Up:-0.00m/s V:14Km/h Sun:41 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/10/2022 17:48,12/10/2022 17:48,-81.8135,-139.45767,0,0,239.88,CA08GE 5C NaNV To:186 Up:0.01m/s V:22Km/h Sun:25 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/11/2022 2:02,12/11/2022 2:02,-86.27117,-154.28817,0,0,490.12,BA23UR 5C NaNV To:193 Up:0.01m/s V:23Km/h Sun:27 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/11/2022 21:55,12/11/2022 21:55,-77.2205,-26.45767,0,0,10600.03,HB62SS 5C NaNV To:325 Up:0m/s V:35Km/h Sun:19 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/12/2022 3:23,12/12/2022 3:23,-70.8135,-39.7965,0,0,10720.12,HB09CE 10C NaNV To:324 Up:0.01m/s V:38Km/h Sun:4 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/12/2022 19:19,12/12/2022 19:19,-58.39,-56.45767,0,0,10490,GD11SO 5C NaNV To:350 Up:-0.00m/s V:21Km/h Sun:41 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
12/12/2022 22:13,12/12/2022 22:13,-56.30517,-55.54233,0,0,10419.89,GD23FQ 0C NaNV To:9 Up:-0.01m/s V:21Km/h Sun:16 WSPR PicoBalloon http://lu7aa.org/wspr.asp?other=kd9uqb&launch=20221124060000&SSID=12&banda=20m&balloonid=14&timeslot=4&tracker=wb8elk
